City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
78,Avarua,CK,-21.2078,-159.775,75.25,73,100,18.41,overcast clouds
79,Rio Bueno,CL,-40.3167,-72.9667,50.14,96,100,8.39,overcast clouds
80,Mohammedia,MA,33.7066,-7.3944,79.21,100,12,8.05,few clouds
81,Mount Pearl,CA,47.5166,-52.7813,54.95,89,100,12.66,light intensity shower rain
82,Tiksi,RU,71.6872,128.8694,65.68,45,15,6.96,few clouds
83,Santa Elena De Uairen,VE,4.6167,-61.1333,69.64,85,33,3.02,scattered clouds
84,Sola,VU,-13.8833,167.55,73.44,85,100,22.19,overcast clouds
85,Papao,PF,-17.75,-149.55,83.88,73,100,15.86,overcast clouds
86,Port Lincoln,AU,-34.7333,135.8667,53.31,67,43,6.44,scattered clouds
87,Batang,ID,-6.4846,110.7083,73.63,79,65,6.04,broken clouds
88,Lepsy,KZ,46.235,78.9456,73.92,40,0,9.57,clear sky
89,Uturoa,PF,-16.7333,-151.4333,77.05,71,25,17.83,scattered clouds
90,Punta Arenas,CL,-53.15,-70.9167,37.4,90,100,5.26,overcast clouds
91,Vila Velha,BR,-20.3297,-40.2925,73.35,88,75,9.22,broken clouds
92,Ad Dabbah,SD,18.05,30.95,83.19,61,97,10.18,moderate rain
93,Bilibino,RU,68.0546,166.4372,57.36,39,99,4.56,overcast clouds
94,Enewetak,MH,11.3474,162.3373,83.61,76,72,14.83,broken clouds
95,Dryden,CA,49.7833,-92.7503,61.09,67,100,10.36,overcast clouds
96,Keflavik,IS,64.0049,-22.5624,55.31,71,0,8.05,clear sky
97,Twon-Brass,NG,4.3151,6.2418,77.61,85,87,12.82,light rain
98,Hawaiian Paradise Park,US,19.5933,-154.9731,82.72,76,20,8.05,few clouds
99,Utrik,MH,11.2278,169.8474,83.05,71,74,11.7,broken clouds
100,Six-Fours-Les-Plages,FR,43.0938,5.84,69.1,70,0,1.01,clear sky
101,Polohy,UA,47.4844,36.2536,68.49,55,4,13.42,clear sky
102,Ak-Dovurak,RU,51.1833,90.6,58.41,93,100,3.49,overcast clouds
103,Kokoda,PG,-8.8785,147.7407,78.4,75,73,1.61,broken clouds
104,Lufilufi,WS,-13.8745,-171.5986,89.38,77,10,11.36,clear sky
105,Lib,MH,8.3122,167.3766,82.72,74,23,9.73,few clouds
106,East London,ZA,-33.0153,27.9116,63.16,77,46,16.73,scattered clouds
107,Shimoda,JP,34.6667,138.95,79.11,84,59,12.1,broken clouds
108,Rafsanjan,IR,30.4067,55.9939,81.41,20,8,5.5,clear sky
109,Rawson,AR,-43.3002,-65.1023,60.82,38,63,14.29,broken clouds
110,Saint-Denis,FR,48.9167,2.3333,66.97,78,0,3.44,clear sky
